Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
199,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,200
198,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,199
197,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,198
196,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,197
195,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,196
194,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,195
193,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,194
192,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,193
191,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,192
190,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,191
189,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,190
188,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,189
187,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,188
186,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,187
185,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,186
184,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,185
183,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,184
182,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,183
181,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,182
180,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,181
179,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,180
178,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,179
177,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,178
176,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,177
175,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,176
174,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,175
173,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,174
172,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,173
171,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,172
170,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,171
169,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,170
168,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,169
167,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,168
166,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,167
165,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,166
164,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,165
163,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,164
162,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,163
161,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,162
160,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,161
159,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,160
158,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,159
157,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,158
