Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpFastEMA,InpSlowEMA,InpSignalSMA
180,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,76,61
178,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,16,16
179,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,106,61
172,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,91
174,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,1,121
176,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,61,256
173,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,91,121
177,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,181,91,76
175,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,136,226
171,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,166
163,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,106,226
168,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,151,196
164,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,226,121
170,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,61,106
166,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,241,196
165,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,196,226
169,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,181,1
167,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,166,211
162,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,241,46
161,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,76,256
160,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,61
159,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,226,31
157,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,166,226
158,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,121,136,226
154,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,121,106
153,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,226,196
156,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,181,1
155,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,166,181,61
152,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,121,16,211
148,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,181,1,1
150,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,106,256,136
147,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,76
149,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,1,181
151,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,91,1
146,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,121,241
145,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,1,226,91
144,62.07,2540.76,17.522483,1.023888,0.158440,0.093291,62.068965517241381,15.9606,145,46,61,91
