Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
93,3.31,10506.89,656.680625,3.509701,3.607442,3.314950,0,2.8807,16,282
72,3.31,18478.97,461.974250,1.994551,2.979691,3.308244,0,5.4648,40,234
44,3.06,15770.56,415.014737,1.864357,2.583292,3.063727,0,5.4493,38,236
36,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,290
57,2.89,11230.55,863.888462,6.096132,3.855903,2.891769,0,2.8807,13,289
38,2.74,14178.52,363.551795,1.724206,2.229131,2.740881,0,5.6794,39,239
4,2.66,13441.99,373.388611,1.784909,2.143017,2.664828,0,5.6244,36,249
90,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,275
0,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,277
1,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,279
39,2.64,9059.38,603.958667,3.167248,3.110453,2.638058,0,2.8807,15,278
3,2.51,11077.38,316.496571,1.675373,1.857524,2.505485,0,5.4321,35,258
99,2.51,11077.38,316.496571,1.675373,1.857524,2.505485,0,5.4321,35,259
47,2.44,11975.35,342.152857,1.699343,1.909195,2.435118,0,5.6244,35,248
112,2.38,12509.22,347.478333,1.685972,1.967842,2.377099,0,5.6252,36,245
115,2.37,12493.58,347.043889,1.685121,1.965382,2.373804,0,5.6260,36,244
102,2.18,9805.52,817.126667,5.450642,3.379419,2.178048,0,2.8702,12,294
107,2.18,9807.51,817.292500,5.455569,3.367316,2.177656,0,2.8807,12,293
97,2.13,7695.66,549.690000,2.843281,2.642232,2.127484,0,2.8807,14,270
88,1.99,9085.94,605.729333,3.156383,2.597111,1.992784,0,3.3976,15,267
54,1.94,8064.94,504.058750,2.550762,2.305270,1.936625,0,3.3975,16,264
94,1.94,8064.94,504.058750,2.550762,2.305270,1.936625,0,3.3975,16,262
106,1.94,8062.95,503.934375,2.549786,2.304701,1.936461,0,3.3976,16,261
77,1.85,9175.24,247.979459,1.472198,1.054913,1.848270,0,7.9079,37,252
111,1.61,7742.49,215.069167,1.403766,0.903561,1.610071,0,7.8956,36,253
32,1.61,7769.43,215.817500,1.404976,0.909221,1.606334,0,7.8738,36,255
27,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,299
48,1.22,16225.74,172.614255,1.308821,1.099414,1.219142,0,12.8970,94,32
75,1.22,8035.69,186.876512,1.318479,0.742529,1.216515,0,9.2681,43,223
50,1.18,8609.28,187.158261,1.314403,0.655496,1.183720,0,11.0898,46,219
16,1.14,14785.15,158.980108,1.285039,0.962972,1.136997,0,13.5133,93,33
74,1.00,6773.55,132.814706,1.245631,0.616864,0.996191,0,9.5006,51,185
28,0.99,6641.29,135.536531,1.250413,0.605819,0.992709,0,9.4973,49,183
116,0.98,6446.34,134.298750,1.255215,0.588040,0.977874,0,9.5133,48,181
61,0.96,6248.49,142.011136,1.232717,0.586213,0.964047,0,9.2811,44,226
68,0.96,6189.85,140.678409,1.230548,0.581501,0.956191,0,9.2740,44,224
120,0.83,5070.01,117.907209,1.189026,0.485379,0.833613,0,9.0866,43,228
105,0.83,5070.01,117.907209,1.189026,0.485379,0.833613,0,9.0866,43,229
69,0.81,6083.38,135.186222,1.221173,0.500112,0.811708,0,10.7309,45,214
8,0.81,5842.10,124.300000,1.208108,0.455469,0.805479,0,11.1102,47,218
22,0.78,5722.97,110.057115,1.226991,0.735637,0.783031,0,7.6946,52,95
26,0.76,5315.83,106.316600,1.219105,0.625806,0.763965,0,8.4016,50,94
109,0.76,5751.98,125.043043,1.207936,0.474162,0.758600,0,10.7338,46,213
29,0.68,4338.29,96.406444,1.179751,0.404212,0.677109,0,9.5036,45,180
108,0.61,4634.14,98.598723,1.162698,0.386151,0.607380,0,10.7329,47,212
117,0.57,9983.80,76.798462,1.127919,0.633833,0.570784,0,14.2828,130,20
41,0.52,3464.75,67.936275,1.132950,0.375942,0.517880,0,9.1155,51,93
56,0.45,3307.37,76.915581,1.124020,0.484344,0.449352,0,6.7351,43,122
82,0.43,6253.14,57.368257,1.092707,0.321658,0.429644,0,17.3856,109,26
31,0.35,2607.45,44.194068,1.081921,0.271756,0.345255,0,9.4913,59,84
24,0.27,4585.10,36.103150,1.062460,0.394819,0.266931,0,11.4717,127,11
71,0.26,1773.88,37.742128,1.066861,0.225299,0.262922,0,7.7094,47,100
17,0.25,3576.58,31.933750,1.052577,0.213492,0.251551,0,15.5036,112,24
98,0.23,1756.21,37.366170,1.059290,0.133077,0.231591,0,11.9690,47,208
114,0.22,3853.48,30.342362,1.048956,0.193632,0.219963,0,18.0281,127,21
33,0.17,3143.78,24.560781,1.041614,0.246333,0.171456,0,12.5656,128,12
95,-0.01,-64.60,-0.717778,0.998780,-0.004190,-0.005553,0,14.8447,90,35
58,-0.02,-151.40,-3.154167,0.995135,-0.011702,-0.020084,0,11.9587,48,207
83,-0.05,-788.08,-6.015878,0.989041,-0.056847,-0.048378,0,13.6465,131,10
84,-0.06,-1126.84,-8.943175,0.986053,-0.072354,-0.062269,0,14.9928,126,16
15,-0.13,-1499.14,-17.846905,0.970610,-0.096635,-0.132484,0,14.9481,84,40
30,-0.16,-1013.56,-21.565106,0.964787,-0.087423,-0.164906,0,10.6797,47,187
66,-0.17,-1193.76,-19.569836,0.965496,-0.101464,-0.165438,0,11.6384,61,82
70,-0.19,-1398.33,-27.966600,0.953012,-0.122852,-0.191052,0,11.2579,50,90
103,-0.21,-1608.65,-34.970652,0.943334,-0.185892,-0.211710,0,8.2747,46,136
104,-0.29,-2033.43,-42.363125,0.936863,-0.187664,-0.287689,0,10.0074,48,197
34,-0.32,-6196.05,-31.293182,0.934151,-0.338704,-0.322445,0,18.0059,198,5
60,-0.34,-2591.43,-53.988125,0.912174,-0.299460,-0.337529,0,8.2747,48,137
43,-0.34,-2553.37,-44.795965,0.923209,-0.197634,-0.339431,0,12.7786,57,85
23,-0.37,-2568.12,-52.410612,0.917466,-0.210558,-0.372073,0,11.3318,49,193
79,-0.44,-2921.31,-60.860625,0.901058,-0.316526,-0.441593,0,9.0516,48,104
86,-0.45,-2908.51,-61.883191,0.900933,-0.220153,-0.450192,0,12.1966,47,173
64,-0.47,-3612.56,-75.261667,0.880371,-0.415653,-0.473100,0,8.3129,48,133
118,-0.51,-3952.14,-82.336250,0.875077,-0.504239,-0.505873,0,7.7091,48,125
42,-0.51,-5534.60,-66.681928,0.893002,-0.273336,-0.510608,0,19.1128,83,41
73,-0.53,-3638.27,-74.250408,0.876866,-0.323376,-0.526001,0,11.0415,49,101
40,-0.57,-3811.75,-77.790816,0.873922,-0.378899,-0.572567,0,9.8666,49,103
46,-0.62,-4570.67,-97.248298,0.845368,-0.391800,-0.615639,0,11.1549,47,138
51,-0.63,-4530.84,-90.616800,0.868473,-0.388114,-0.625762,0,10.9483,50,202
2,-0.66,-4716.85,-94.337000,0.863154,-0.412460,-0.661219,0,10.7665,50,198
5,-0.68,-4727.92,-98.498333,0.850456,-0.440776,-0.679085,0,10.5795,48,117
89,-0.68,-4867.83,-97.356600,0.859390,-0.419959,-0.680612,0,10.9128,50,199
96,-0.69,-5021.73,-104.619375,0.845625,-0.558132,-0.690669,0,8.8742,48,119
35,-0.69,-4891.06,-99.817551,0.854208,-0.375084,-0.694511,0,12.1141,49,204
37,-0.79,-5581.97,-116.291042,0.817661,-0.548600,-0.794619,0,9.7814,48,139
65,-0.81,-8054.29,-99.435679,0.837445,-0.389297,-0.808406,0,19.5223,81,44
19,-0.90,-8425.09,-123.898382,0.807172,-0.457710,-0.900149,0,17.8090,68,54
78,-0.93,-6686.31,-136.455306,0.801301,-0.545792,-0.933793,0,11.6782,49,162
52,-1.02,-7265.40,-148.273469,0.787457,-0.567871,-1.023901,0,12.2007,49,163
67,-1.10,-7039.81,-149.783191,0.769628,-0.475537,-1.103156,0,13.9829,47,170
20,-1.11,-10342.12,-154.360000,0.768767,-0.562705,-1.106552,0,17.7060,67,56
10,-1.25,-9463.31,-145.589385,0.772842,-0.503925,-1.253090,0,18.5121,65,77
55,-1.26,-10130.10,-158.282812,0.753268,-0.577529,-1.262269,0,17.4283,64,72
49,-1.28,-8429.34,-175.611250,0.727815,-0.617797,-1.275664,0,13.4574,48,114
9,-1.30,-9015.81,-191.825745,0.734157,-0.778851,-1.297761,0,11.3589,47,161
11,-1.33,-10829.07,-166.601077,0.737629,-0.596937,-1.326173,0,18.0252,65,71
