Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
79,3.31,10506.89,656.680625,3.509701,3.607442,3.314950,0,2.8807,16,283
95,3.31,18499.45,462.486250,1.995177,2.992223,3.305052,0,5.4478,40,234
94,2.90,15134.68,398.281053,1.805154,2.479132,2.903589,0,5.4493,38,237
98,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,288
0,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,291
44,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,289
30,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,286
65,2.89,11230.55,863.888462,6.096132,3.855903,2.891769,0,2.8807,13,287
90,2.75,14219.97,364.614615,1.726126,2.235647,2.747047,0,5.6775,39,239
23,2.74,14200.34,364.111282,1.725321,2.232561,2.744263,0,5.6783,39,240
8,2.72,14173.51,393.708611,1.780548,2.367124,2.715922,0,5.3447,36,243
45,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,276
28,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,275
89,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,280
19,2.64,9059.38,603.958667,3.167248,3.110453,2.638058,0,2.8807,15,281
53,2.64,9059.38,603.958667,3.167248,3.110453,2.638058,0,2.8807,15,277
93,2.49,11033.25,315.235714,1.670878,1.835330,2.493311,0,5.4758,35,258
81,2.49,11029.98,315.142286,1.670546,1.834786,2.492324,0,5.4758,35,259
106,2.38,12540.52,348.347778,1.687687,1.972766,2.381864,0,5.6240,36,245
67,2.29,10563.52,880.293333,7.196849,3.812045,2.293595,0,2.7408,12,295
100,2.14,7709.25,550.660714,2.852566,2.656951,2.135077,0,2.8702,14,270
86,2.13,7693.67,549.547857,2.841926,2.651582,2.127680,0,2.8702,14,274
74,2.12,10371.67,942.879091,7.103603,5.693558,2.123083,0,1.8122,11,296
72,2.07,8475.76,529.735000,2.763810,2.422698,2.067491,0,3.3975,16,266
75,2.07,8473.77,529.610625,2.762666,2.422129,2.067343,0,3.3976,16,265
20,2.00,9100.95,606.730000,3.160966,2.583926,2.000936,0,3.4193,15,269
109,1.94,8064.94,504.058750,2.550762,2.305270,1.936625,0,3.3975,16,261
83,1.94,8064.94,504.058750,2.550762,2.305270,1.936625,0,3.3975,16,263
60,1.94,8062.95,503.934375,2.549786,2.304701,1.936461,0,3.3976,16,264
21,1.61,7775.11,215.975278,1.405392,0.909886,1.607366,0,7.8738,36,254
2,1.61,7769.43,215.817500,1.404976,0.909221,1.606334,0,7.8738,36,255
51,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,300
87,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,297
78,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,298
66,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,299
7,1.36,9169.42,203.764889,1.355277,0.838473,1.361689,0,9.2685,45,222
36,1.18,8574.75,186.407609,1.313144,0.653140,1.179297,0,11.0889,46,219
14,1.17,16484.97,173.526000,1.304559,1.157099,1.168537,0,12.3070,95,31
113,1.06,4830.80,241.540000,1.434626,0.832069,1.056697,0,5.7038,20,117
58,1.01,6835.76,134.034510,1.248278,0.622079,1.008471,0,9.5028,51,184
117,0.98,6446.34,134.298750,1.255215,0.588040,0.977874,0,9.5133,48,181
104,0.94,13251.46,139.489053,1.240172,0.909557,0.942269,0,12.9153,95,29
110,0.83,5076.73,118.063488,1.189232,0.486023,0.834436,0,9.0857,43,229
103,0.83,5076.73,118.063488,1.189232,0.486023,0.834436,0,9.0857,43,228
32,0.80,5253.63,109.450625,1.199794,0.484920,0.804770,0,9.5087,48,182
54,0.80,5825.82,123.953617,1.207526,0.454200,0.803372,0,11.1118,47,218
29,0.77,5330.42,106.608400,1.219722,0.628610,0.765973,0,8.3882,50,94
105,0.71,3591.71,189.037368,1.328201,0.466059,0.709241,0,7.0518,19,212
88,0.67,9548.74,92.706214,1.147928,0.492404,0.673712,0,16.9790,103,27
116,0.64,2811.06,127.775455,1.237730,0.389342,0.643914,0,6.6894,22,196
25,0.58,4358.82,82.241887,1.156309,0.506334,0.581573,0,8.5146,53,98
16,0.57,10033.98,77.184462,1.128463,0.637195,0.573153,0,14.2723,130,20
48,0.53,3230.38,73.417727,1.127310,0.265333,0.525484,0,10.7463,44,176
97,0.45,3315.51,77.104884,1.124292,0.484493,0.450206,0,6.7496,43,122
64,0.42,6085.34,55.828807,1.090313,0.313830,0.418715,0,17.3701,109,26
121,0.34,2593.10,43.950847,1.081469,0.269885,0.343366,0,9.5032,59,84
119,0.32,2303.26,44.293462,1.081281,0.238016,0.318356,0,9.5712,52,92
101,0.26,1786.79,38.016809,1.067350,0.227223,0.264807,0,7.6995,47,100
15,0.26,4505.57,35.476929,1.061347,0.385385,0.262250,0,11.5456,127,11
57,0.24,3412.07,30.464911,1.050165,0.204251,0.240099,0,15.4890,112,24
63,0.23,1766.58,37.586809,1.059653,0.133863,0.232975,0,11.9679,47,209
77,0.23,1763.14,37.513617,1.059538,0.133602,0.232525,0,11.9683,47,208
17,0.22,3869.10,30.465354,1.049134,0.194417,0.220814,0,18.0269,127,21
49,0.20,3741.09,29.928720,1.048956,0.304185,0.200675,0,12.1489,125,15
71,0.13,856.96,17.139200,1.028486,0.068416,0.129994,0,11.2518,50,186
52,0.09,653.75,13.341837,1.021980,0.052116,0.092285,0,11.2870,49,189
69,0.08,550.66,11.716170,1.018214,0.046754,0.079500,0,10.6810,47,195
13,0.01,73.24,0.813778,1.001382,0.004751,0.006289,0,14.8258,90,35
85,-0.06,-866.74,-8.254667,0.987104,-0.044556,-0.063570,0,17.8981,105,25
31,-0.09,-720.83,-10.921667,0.980961,-0.061740,-0.093014,0,11.5092,66,80
59,-0.10,-699.21,-14.269592,0.977354,-0.056303,-0.098699,0,11.3221,49,190
91,-0.14,-2474.80,-19.184496,0.969752,-0.176685,-0.139935,0,13.5811,129,17
18,-0.14,-1589.66,-18.924524,0.968832,-0.102302,-0.140573,0,14.9805,84,40
11,-0.18,-1341.27,-26.825400,0.954957,-0.118433,-0.183098,0,11.2029,50,90
107,-0.21,-1608.65,-34.970652,0.943334,-0.185892,-0.211710,0,8.2747,46,136
1,-0.29,-2036.05,-42.417708,0.936781,-0.187905,-0.287915,0,10.0077,48,197
26,-0.32,-5290.93,-38.903897,0.928634,-0.316002,-0.322143,0,16.4816,136,9
108,-0.32,-6205.81,-31.342475,0.934036,-0.339028,-0.322892,0,18.0165,198,5
118,-0.34,-2566.11,-45.019474,0.922798,-0.199261,-0.341889,0,12.7391,57,85
39,-0.37,-2569.34,-52.435510,0.917427,-0.210658,-0.372257,0,11.3319,49,192
61,-0.43,-3268.90,-69.551064,0.890898,-0.376964,-0.427261,0,8.2918,47,134
55,-0.45,-2993.92,-62.373333,0.898572,-0.324505,-0.452862,0,9.0544,48,104
111,-0.47,-3569.57,-74.366042,0.881810,-0.411637,-0.467163,0,8.2918,48,133
47,-0.50,-5448.86,-65.648916,0.894644,-0.269676,-0.502483,0,19.0652,83,41
82,-0.52,-3580.79,-73.077347,0.878868,-0.318086,-0.517376,0,11.0409,49,101
62,-0.60,-4478.94,-95.296596,0.860916,-0.529088,-0.603336,0,8.3495,47,120
9,-0.62,-4570.67,-97.248298,0.845368,-0.391800,-0.615639,0,11.1549,47,138
99,-0.63,-4530.84,-90.616800,0.868473,-0.388114,-0.625762,0,10.9483,50,202
38,-0.66,-4721.59,-94.431800,0.863016,-0.412875,-0.661934,0,10.7670,50,198
73,-0.70,-5077.09,-105.772708,0.843944,-0.560716,-0.698218,0,8.9308,48,119
120,-0.73,-3339.74,-128.451538,0.813875,-0.290772,-0.733720,0,11.3051,26,53
80,-0.74,-5641.96,-85.484242,0.857380,-0.375200,-0.737303,0,14.8210,66,79
92,-0.74,-4207.20,-91.460870,0.848240,-0.372086,-0.744131,0,10.7540,46,171
115,-0.76,-4037.51,-134.583667,0.813347,-0.355928,-0.758960,0,11.0259,30,45
35,-0.77,-5341.94,-111.290417,0.819501,-0.452792,-0.767135,0,11.6364,48,111
50,-0.81,-8071.98,-99.654074,0.837113,-0.389611,-0.810112,0,19.5484,81,44
43,-0.81,-6117.28,-132.984348,0.803374,-0.680328,-0.814587,0,8.8284,46,126
22,-1.00,-10141.39,-123.675488,0.805266,-0.453072,-1.002892,0,21.1199,82,42
70,-1.03,-10249.96,-128.124500,0.799223,-0.451412,-1.025786,0,21.4330,80,43
10,-1.11,-8326.72,-181.015652,0.740145,-0.745190,-1.107161,0,10.9711,46,127
3,-1.12,-7781.39,-158.803878,0.769835,-0.562339,-1.121560,0,13.1284,49,165
