Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
85,3.67,12701.21,907.229286,6.742165,4.377403,3.669793,0,2.8702,14,285
81,3.33,10534.70,658.418750,3.524539,3.630727,3.327444,0,2.8702,16,283
71,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,287
26,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,289
80,2.89,11228.56,863.735385,6.090632,3.869862,2.892329,0,2.8702,13,290
54,2.86,14816.36,389.904211,1.776871,2.329411,2.861555,0,5.6775,38,241
42,2.84,15302.69,402.702368,1.823587,2.405871,2.839589,0,5.6775,38,242
46,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,281
82,2.64,9057.39,603.826000,3.165741,3.121580,2.638266,0,2.8702,15,277
76,2.64,9059.38,603.958667,3.167248,3.110453,2.638058,0,2.8807,15,276
19,2.51,11077.38,316.496571,1.675373,1.857524,2.505485,0,5.4321,35,259
98,2.38,12540.52,348.347778,1.687687,1.972766,2.381864,0,5.6240,36,245
89,2.37,12473.54,346.487222,1.684015,1.962230,2.370438,0,5.6270,36,244
64,2.27,12665.14,316.628500,1.602046,1.989291,2.271892,0,5.5561,40,238
27,2.18,9805.52,817.126667,5.450642,3.379419,2.178048,0,2.8702,12,293
0,2.18,9805.52,817.126667,5.450642,3.379419,2.178048,0,2.8702,12,294
96,2.16,10733.01,306.657429,1.587952,1.671054,2.159306,0,5.7593,35,247
47,2.14,7723.47,551.676429,2.855983,2.661852,2.137863,0,2.8702,14,270
1,1.99,9085.94,605.729333,3.156383,2.597111,1.992784,0,3.3976,15,269
43,1.99,9085.94,605.729333,3.156383,2.597111,1.992784,0,3.3976,15,268
34,1.94,8064.94,504.058750,2.550762,2.305270,1.936625,0,3.3975,16,263
65,1.94,8064.94,504.058750,2.550762,2.305270,1.936625,0,3.3975,16,262
104,1.94,8062.95,503.934375,2.549786,2.304701,1.936461,0,3.3976,16,261
99,1.61,7769.43,215.817500,1.404976,0.909221,1.606334,0,7.8738,36,256
53,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,298
23,1.51,8948.48,894.848000,6.276631,4.912294,1.508613,0,1.8122,10,300
17,1.23,17019.94,184.999348,1.328282,1.199200,1.225006,0,12.3221,92,30
105,1.22,4609.86,256.103333,1.520852,0.592594,1.222106,0,7.0558,18,181
16,1.14,14785.15,158.980108,1.285039,0.962972,1.136997,0,13.5133,93,33
21,0.96,6246.41,141.963864,1.232744,0.586018,0.964042,0,9.2813,44,226
45,0.92,6821.13,131.175577,1.266876,0.790650,0.919492,0,8.5341,52,96
90,0.83,5076.73,118.063488,1.189232,0.486023,0.834436,0,9.0857,43,228
93,0.82,6129.96,136.221333,1.223085,0.504224,0.817716,0,10.7211,45,214
61,0.79,5806.62,111.665769,1.230219,0.753523,0.793885,0,7.6228,52,95
110,0.76,5743.38,124.856087,1.207676,0.473805,0.757588,0,10.7275,46,213
83,0.72,9701.72,102.123368,1.163986,0.551714,0.717338,0,15.4834,95,28
86,0.67,9559.45,92.810194,1.148081,0.492956,0.674419,0,16.9765,103,27
115,0.61,4636.58,98.650638,1.162808,0.386078,0.607802,0,10.7395,47,212
100,0.56,3296.16,76.654884,1.138989,0.310193,0.562155,0,9.5037,43,177
48,0.53,3515.27,68.926863,1.134760,0.384336,0.525069,0,9.0464,51,93
102,0.52,2293.26,114.663000,1.214127,0.398589,0.518514,0,5.7300,20,110
36,0.45,3333.56,77.524651,1.124837,0.486297,0.452279,0,6.7611,43,122
3,0.42,2514.07,57.137955,1.103070,0.237912,0.418609,0,9.5215,44,178
69,0.34,2682.29,55.881042,1.089034,0.220801,0.339627,0,11.0339,48,211
109,0.23,2775.84,30.842667,1.052547,0.185042,0.232070,0,14.5512,90,36
74,0.17,3143.79,24.560859,1.041614,0.246334,0.171456,0,12.5656,128,12
