Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
182,64.38,5323.15,72.919863,1.093121,0.321897,0.335145,64.38356164383562,14.3493,73,183
181,64.38,5323.15,72.919863,1.093121,0.321897,0.335145,64.38356164383562,14.3493,73,182
185,63.38,2616.66,36.854366,1.046814,0.186248,0.172158,63.380281690140848,12.7457,71,186
184,63.38,2616.66,36.854366,1.046814,0.186248,0.172158,63.380281690140848,12.7457,71,185
183,63.01,1839.46,25.198082,1.031724,0.113987,0.117101,63.013698630136986,14.4613,73,184
179,62.67,1411.61,18.821467,1.023210,0.069796,0.089924,62.666666666666671,17.5494,75,180
178,62.67,1411.61,18.821467,1.023210,0.069796,0.089924,62.666666666666671,17.5494,75,179
180,62.16,49.43,0.667973,1.000816,0.002298,0.003182,62.162162162162161,18.6642,74,181
177,61.84,-548.98,-7.223421,0.991153,-0.027728,-0.034397,61.842105263157897,17.5247,76,178
187,61.43,-1948.95,-27.842143,0.964902,-0.145434,-0.132851,61.428571428571431,12.7267,70,188
186,61.43,-1948.94,-27.842000,0.964902,-0.145433,-0.132851,61.428571428571431,12.7267,70,187
176,61.04,-2448.64,-31.800519,0.961236,-0.126095,-0.152582,61.038961038961034,17.5239,77,177
175,61.04,-2477.33,-32.173117,0.960752,-0.127707,-0.154094,61.038961038961034,17.5124,77,176
174,61.04,-2477.33,-32.173117,0.960752,-0.127707,-0.154094,61.038961038961034,17.5124,77,175
173,61.04,-2477.33,-32.173117,0.960752,-0.127707,-0.154094,61.038961038961034,17.5124,77,174
172,61.04,-2477.33,-32.173117,0.960752,-0.127707,-0.154094,61.038961038961034,17.5124,77,173
171,60.53,-3740.79,-49.220921,0.940005,-0.195485,-0.242838,60.526315789473685,17.5033,76,172
189,60.00,-5114.62,-73.066000,0.910650,-0.313291,-0.360157,60,15.5041,70,190
188,60.00,-5114.62,-73.066000,0.910650,-0.313291,-0.360157,60,15.5041,70,189
195,59.42,-6015.50,-87.181159,0.895267,-0.350503,-0.434333,59.420289855072461,16.2997,69,196
194,59.42,-6033.37,-87.440145,0.894956,-0.351178,-0.436751,59.420289855072461,16.3166,69,195
193,59.42,-6033.37,-87.440145,0.894956,-0.351178,-0.436751,59.420289855072461,16.3166,69,194
192,59.42,-6033.37,-87.440145,0.894956,-0.351178,-0.436751,59.420289855072461,16.3166,69,193
170,59.21,-6820.47,-89.743026,0.890557,-0.367864,-0.453156,59.210526315789465,17.5180,76,171
169,59.21,-6813.74,-89.654474,0.890656,-0.369004,-0.454286,59.210526315789465,17.4466,76,170
11,59.13,-16343.64,-71.059304,0.905127,-0.634681,-0.482492,59.130434782608695,24.3126,230,12
48,58.78,-12265.29,-93.628168,0.883601,-0.485252,-0.523262,58.778625954198475,22.8707,131,49
12,58.74,-18105.15,-81.189013,0.893816,-0.576373,-0.532666,58.744394618834086,28.6874,223,13
191,58.57,-7970.02,-113.857429,0.865309,-0.419465,-0.574192,58.571428571428577,18.0452,70,192
190,58.57,-7966.07,-113.801000,0.865376,-0.419258,-0.577121,58.571428571428577,18.0445,70,191
46,58.52,-14263.94,-105.658815,0.873254,-0.452649,-0.589060,58.518518518518512,26.9859,135,47
198,58.21,-8268.73,-123.413881,0.857000,-0.493418,-0.630956,58.208955223880601,15.7918,67,199
15,58.17,-20068.73,-96.484279,0.872541,-0.721034,-0.656246,58.173076923076927,26.7278,208,16
16,58.05,-20223.63,-98.651854,0.871025,-0.718028,-0.651587,58.048780487804876,27.0046,205,17
10,57.98,-24200.09,-101.681050,0.853697,-0.712870,-0.712464,57.983193277310932,33.3227,238,11
197,57.97,-9020.95,-130.738406,0.850308,-0.479367,-0.671678,57.971014492753625,17.5147,69,198
196,57.97,-9021.31,-130.743623,0.850331,-0.479377,-0.670959,57.971014492753625,17.5150,69,197
13,57.80,-23323.50,-106.988532,0.858098,-0.714951,-0.720631,57.798165137614674,30.8401,218,14
157,57.69,-10052.99,-128.884487,0.842668,-0.553433,-0.644502,57.692307692307686,17.8443,78,158
156,57.69,-9822.09,-125.924231,0.844690,-0.546653,-0.636578,57.692307692307686,17.6507,78,157
3,57.67,-31409.41,-96.347883,0.875019,-0.564288,-0.842307,57.668711656441715,45.3880,326,4
155,57.50,-10612.74,-132.659250,0.836235,-0.567448,-0.665162,57.499999999999993,18.3726,80,156
154,57.50,-10612.74,-132.659250,0.836235,-0.567448,-0.665162,57.499999999999993,18.3726,80,155
153,57.50,-10635.59,-132.944875,0.835862,-0.567976,-0.665389,57.499999999999993,18.3951,80,154
150,57.50,-10645.70,-133.071250,0.837133,-0.614791,-0.673179,57.499999999999993,17.0105,80,151
149,57.50,-10747.37,-134.342125,0.835669,-0.617039,-0.680013,57.499999999999993,17.1104,80,150
47,57.46,-17943.36,-133.905672,0.834681,-0.674009,-0.762662,57.462686567164177,24.5989,134,48
45,57.46,-18268.52,-136.332239,0.834751,-0.574613,-0.773623,57.462686567164177,28.1174,134,46
49,57.36,-17111.87,-132.650155,0.837306,-0.641677,-0.761712,57.36434108527132,24.4438,129,50
168,57.33,-11044.90,-147.265333,0.822397,-0.549234,-0.748048,57.333333333333336,19.4257,75,169
55,57.14,-17587.62,-139.584286,0.826177,-0.620798,-0.811274,57.142857142857139,25.9869,126,56
50,57.03,-18107.10,-141.461719,0.824579,-0.604453,-0.832058,57.03125,26.8916,128,51
4,56.95,-35036.23,-116.014007,0.841835,-0.628119,-1.007722,56.953642384105962,47.2297,302,5
17,56.93,-25905.30,-128.244059,0.835466,-0.715843,-0.876014,56.930693069306926,33.8762,202,18
152,56.79,-12419.48,-153.326914,0.813257,-0.653699,-0.783290,56.79012345679012,18.6636,81,153
