Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
198,0,0.00,0,,0,0,0,0.0000,0,200
197,0,0.00,0,,0,0,0,0.0000,0,199
196,0,0.00,0,,0,0,0,0.0000,0,198
195,0,0.00,0,,0,0,0,0.0000,0,197
194,0,0.00,0,,0,0,0,0.0000,0,196
193,0,0.00,0,,0,0,0,0.0000,0,195
192,0,0.00,0,,0,0,0,0.0000,0,194
191,0,0.00,0,,0,0,0,0.0000,0,193
190,0,0.00,0,,0,0,0,0.0000,0,192
189,0,0.00,0,,0,0,0,0.0000,0,191
188,0,0.00,0,,0,0,0,0.0000,0,190
187,0,0.00,0,,0,0,0,0.0000,0,189
186,0,0.00,0,,0,0,0,0.0000,0,188
185,0,0.00,0,,0,0,0,0.0000,0,187
184,0,0.00,0,,0,0,0,0.0000,0,186
183,0,0.00,0,,0,0,0,0.0000,0,185
182,0,0.00,0,,0,0,0,0.0000,0,184
181,0,0.00,0,,0,0,0,0.0000,0,183
180,0,0.00,0,,0,0,0,0.0000,0,182
179,0,0.00,0,,0,0,0,0.0000,0,181
178,0,0.00,0,,0,0,0,0.0000,0,180
177,0,0.00,0,,0,0,0,0.0000,0,179
176,0,0.00,0,,0,0,0,0.0000,0,178
175,0,0.00,0,,0,0,0,0.0000,0,177
174,0,0.00,0,,0,0,0,0.0000,0,176
173,0,0.00,0,,0,0,0,0.0000,0,175
172,0,0.00,0,,0,0,0,0.0000,0,174
171,0,0.00,0,,0,0,0,0.0000,0,173
170,0,0.00,0,,0,0,0,0.0000,0,172
169,0,0.00,0,,0,0,0,0.0000,0,171
168,0,0.00,0,,0,0,0,0.0000,0,170
167,0,0.00,0,,0,0,0,0.0000,0,169
166,0,0.00,0,,0,0,0,0.0000,0,168
165,0,0.00,0,,0,0,0,0.0000,0,167
164,0,0.00,0,,0,0,0,0.0000,0,166
163,0,0.00,0,,0,0,0,0.0000,0,165
162,0,0.00,0,,0,0,0,0.0000,0,164
161,0,0.00,0,,0,0,0,0.0000,0,163
160,0,0.00,0,,0,0,0,0.0000,0,162
159,0,0.00,0,,0,0,0,0.0000,0,161
158,0,0.00,0,,0,0,0,0.0000,0,160
157,0,0.00,0,,0,0,0,0.0000,0,159
156,0,0.00,0,,0,0,0,0.0000,0,158
155,0,0.00,0,,0,0,0,0.0000,0,157
154,0,0.00,0,,0,0,0,0.0000,0,156
153,0,0.00,0,,0,0,0,0.0000,0,155
152,0,0.00,0,,0,0,0,0.0000,0,154
