Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpFastEMA,InpSlowEMA,InpSignalSMA
74,81.82,15180.58,690.026364,2.735884,2.494127,2.584586,81.818181818181827,5.4813,22,106,226,166
99,75.86,14633.47,504.602414,1.958077,1.766210,1.976457,75.862068965517238,7.6139,29,31,226,211
2,75.00,10316.00,429.833333,1.854890,1.195666,1.434887,75,8.3569,24,121,226,136
89,72.00,9657.43,386.297200,1.651062,1.378682,1.988777,72,6.5643,25,46,106,151
3,71.43,6967.07,331.765238,1.541597,0.873773,1.514949,71.428571428571431,7.1296,21,166,226,121
66,71.05,12381.50,325.828947,1.503480,1.742192,1.432895,71.05263157894737,6.0741,38,76,31,106
111,70.00,8861.02,295.367333,1.472865,1.395645,1.503647,70,6.1368,30,106,76,106
72,69.23,8609.26,331.125385,1.592031,0.957359,1.554497,69.230769230769226,8.7008,26,106,151,136
34,68.97,7528.49,259.603103,1.401214,1.349015,1.442180,68.965517241379317,5.1926,29,61,136,286
85,68.75,8667.95,270.873438,1.405672,0.626117,1.155934,68.75,12.1152,32,46,226,181
35,68.75,7975.25,249.226562,1.355134,0.842702,1.075172,68.75,8.2409,32,196,241,31
5,68.00,5195.44,207.817600,1.309225,0.699756,0.903386,68,6.7941,25,181,211,121
120,68.00,7681.05,307.242000,1.547656,0.881952,1.429228,68,8.4257,25,121,166,121
54,68.00,11408.33,228.166600,1.328123,0.942710,1.108737,68,11.1218,50,166,76,31
30,67.65,7117.35,209.333824,1.303953,1.009065,1.106192,67.64705882352942,6.4235,34,31,151,136
27,67.50,9957.09,248.927250,1.385444,1.248824,1.235838,67.5,7.1460,40,136,286,91
24,67.50,8222.31,205.557750,1.304575,0.923325,0.912829,67.5,8.5783,40,31,166,61
15,66.67,10695.59,187.641930,1.262147,1.200492,0.829238,66.666666666666657,8.2075,57,181,91,16
31,65.62,4295.12,134.222500,1.179844,0.376695,0.665786,65.625,10.2865,32,31,241,121
127,64.81,5184.90,96.016667,1.123074,0.531024,0.434882,64.81481481481481,8.6245,54,106,16,106
14,64.29,3353.32,79.840952,1.108015,0.351245,0.305350,64.285714285714292,9.2436,42,136,31,61
117,64.00,3611.75,144.470000,1.209499,0.596775,0.632302,64,5.8026,25,61,151,211
6,64.00,2362.49,94.499600,1.125432,0.339265,0.449953,64,6.5566,25,91,106,136
123,63.64,2278.16,103.552727,1.154095,0.298102,0.417284,63.636363636363633,7.3428,22,136,166,196
69,62.96,3604.59,133.503333,1.186612,0.501298,0.636071,62.962962962962962,6.6037,27,136,256,91
19,62.86,1607.66,45.933143,1.060185,0.179970,0.224812,62.857142857142854,8.5605,35,121,31,121
109,62.68,6688.13,47.099507,1.058411,0.520652,0.250153,62.676056338028175,11.1774,142,46,1,136
62,62.50,2569.42,107.059167,1.151890,0.383516,0.383593,62.5,6.2730,24,151,271,91
52,62.50,-465.06,-19.377500,0.975812,-0.034038,-0.073297,62.5,12.7072,24,46,271,286
75,62.22,360.25,8.005556,1.009887,0.041917,0.035533,62.222222222222221,8.0056,45,16,166,61
110,62.19,4100.63,20.401144,1.025525,0.165574,0.111097,62.189054726368155,19.4742,201,31,1,61
103,62.07,1788.57,61.674828,1.078623,0.170216,0.282972,62.068965517241381,9.4556,29,61,91,256
21,61.90,-348.62,-16.600952,0.978757,-0.066993,-0.060574,61.904761904761905,5.1961,21,136,181,151
122,61.15,-2399.33,-17.261367,0.978221,-0.144300,-0.093053,61.151079136690647,15.3222,139,181,1,46
135,60.71,-2394.97,-28.511548,0.965584,-0.127232,-0.147399,60.714285714285708,16.8722,84,1,241,136
118,60.71,1575.73,56.276071,1.074526,0.148308,0.200242,60.714285714285708,9.7989,28,136,121,226
43,60.71,818.44,29.230000,1.038664,0.107857,0.122698,60.714285714285708,7.0844,28,61,286,136
9,60.61,-1307.83,-39.631212,0.950433,-0.109749,-0.130447,60.606060606060609,11.3599,33,106,256,286
59,60.00,-1255.78,-41.859333,0.947995,-0.100167,-0.176711,60,12.0205,30,181,286,61
80,60.00,-2530.65,-63.266250,0.922934,-0.142077,-0.320122,60,16.3694,40,121,31,76
104,60.00,-1596.43,-79.821500,0.900756,-0.176409,-0.252254,60,8.8358,20,121,196,226
51,59.38,-2803.51,-87.609687,0.893501,-0.185112,-0.425389,59.375,14.2846,32,76,211,211
88,59.06,-13151.24,-76.907836,0.902954,-0.710202,-0.454795,59.064327485380119,17.6778,171,1,31,286
143,59.00,-8238.71,-82.387100,0.891423,-0.403865,-0.481168,59,20.3497,100,1,106,271
53,58.82,-20473.16,-86.021681,0.891924,-0.634665,-0.578433,58.82352941176471,29.2144,238,16,1,136
32,58.62,-1984.03,-68.414828,0.916826,-0.178896,-0.252197,58.620689655172406,10.3290,29,121,106,256
17,58.33,-14588.84,-101.311389,0.878149,-0.646834,-0.594600,58.333333333333336,20.9124,144,151,1,46
129,58.02,-8698.24,-107.385679,0.872014,-0.469250,-0.615704,58.024691358024697,17.3930,81,1,226,196
49,57.69,-3100.45,-119.248077,0.862161,-0.280739,-0.620539,57.692307692307686,10.4936,26,31,181,211
92,57.69,-1739.63,-66.908846,0.918582,-0.175859,-0.244623,57.692307692307686,9.2836,26,196,61,121
144,57.65,-11324.43,-133.228588,0.836810,-0.560037,-0.643737,57.647058823529406,19.2225,85,1,241,166
11,57.30,-11913.85,-133.863483,0.839878,-0.526451,-0.724912,57.303370786516851,21.4956,89,1,226,151
157,57.14,-11223.01,-145.753377,0.828833,-0.629949,-0.692438,57.142857142857139,16.9355,77,1,241,241
132,57.14,-12151.39,-144.659405,0.825877,-0.650064,-0.737676,57.142857142857139,17.9530,84,1,226,226
47,57.14,-5852.01,-139.333571,0.836557,-0.322120,-0.682408,57.142857142857139,16.7962,42,61,91,61
7,56.76,-5375.58,-145.285946,0.827800,-0.590467,-0.762444,56.756756756756758,9.0701,37,136,31,226
148,56.52,-3852.69,-167.508261,0.807524,-0.436788,-0.655554,56.521739130434781,8.7668,23,121,46,166
45,56.52,-4734.21,-205.835217,0.764258,-0.437689,-0.799309,56.521739130434781,10.6726,23,121,166,181
38,56.52,-2168.09,-94.264783,0.887008,-0.173280,-0.390049,56.521739130434781,11.4589,23,151,181,91
97,56.41,-6657.19,-170.697179,0.806527,-0.415681,-0.829761,56.410256410256409,14.9978,39,121,211,76
125,56.41,-7321.61,-187.733590,0.787946,-0.675204,-0.863673,56.410256410256409,10.4957,39,166,151,31
48,56.25,-12713.15,-158.914375,0.814416,-0.662775,-0.913029,56.25,18.3470,80,1,211,286
131,55.80,-28404.20,-156.929282,0.783682,-0.809422,-1.060616,55.80110497237569,35.0797,181,1,106,31
121,55.62,-28488.79,-160.049382,0.782285,-0.863463,-1.098866,55.617977528089888,32.9821,178,1,121,31
65,55.56,-5154.09,-143.169167,0.827457,-0.525320,-0.611073,55.555555555555557,9.6342,36,91,46,286
159,55.45,-19854.42,-180.494727,0.783036,-0.590571,-1.052331,55.454545454545453,30.9660,110,1,106,106
105,55.37,-21302.55,-176.054132,0.781214,-0.851012,-1.014318,55.371900826446286,24.4108,121,181,1,61
64,55.09,-34457.17,-159.523935,0.791901,-0.824396,-1.093805,55.092592592592595,39.3796,216,1,16,76
130,55.00,-19699.17,-196.991700,0.774813,-0.571496,-1.086529,55.000000000000007,31.1414,100,1,226,76
87,55.00,-3363.65,-168.182500,0.797389,-0.459080,-0.627991,55.000000000000007,7.2740,20,121,136,256
142,54.64,-20114.90,-207.370103,0.756348,-0.704335,-1.204375,54.639175257731956,27.2737,97,1,136,211
152,54.29,-29500.22,-210.715857,0.740180,-0.934396,-1.338598,54.285714285714285,30.9947,140,1,46,286
77,54.17,-11333.72,-236.119167,0.736261,-0.827838,-1.017375,54.166666666666664,13.3755,48,151,196,16
1,54.17,-8292.71,-345.529583,0.632466,-0.626874,-1.220023,54.166666666666664,12.6677,24,91,241,181
57,54.05,-8316.43,-224.768378,0.741099,-0.644277,-1.077704,54.054054054054056,12.8217,37,61,151,61
39,53.85,-20712.85,-227.613736,0.735967,-0.717493,-1.187835,53.846153846153847,27.2646,91,121,1,286
67,53.57,-4896.20,-174.864286,0.796445,-0.427392,-0.768456,53.571428571428569,11.0504,28,121,241,91
158,53.46,-42845.29,-197.443733,0.726942,-0.980818,-1.491824,53.456221198156683,43.6680,217,1,16,211
61,53.33,-11693.62,-259.858222,0.719412,-0.581917,-1.179095,53.333333333333336,18.5376,45,136,256,16
73,53.33,-24704.28,-235.278857,0.724321,-0.686506,-1.393338,53.333333333333336,32.7635,105,166,1,226
140,53.23,-29112.64,-234.779355,0.718166,-0.820243,-1.408784,53.225806451612897,33.9067,124,1,121,61
91,53.06,-13421.74,-273.913061,0.707480,-0.622533,-1.284013,53.061224489795919,19.9374,49,106,136,31
16,53.03,-16798.31,-254.519848,0.707759,-0.772099,-1.398881,53.030303030303031,21.2186,66,61,151,16
94,52.94,-9881.77,-290.640294,0.693840,-0.568025,-1.465547,52.941176470588239,16.4071,34,46,271,106
68,52.94,-9584.99,-281.911471,0.701574,-0.778064,-1.518916,52.941176470588239,11.9969,34,76,181,196
84,52.86,-33478.92,-239.135143,0.702247,-0.919387,-1.590768,52.857142857142861,35.5684,140,1,46,256
26,52.73,-15300.71,-278.194727,0.702308,-0.687922,-1.302260,52.72727272727272,21.2613,55,121,16,61
96,52.73,-15035.88,-273.379636,0.703618,-0.740928,-1.371854,52.72727272727272,19.2797,55,16,46,286
141,52.38,-27888.00,-265.600000,0.683490,-0.885161,-1.491625,52.380952380952387,31.4290,105,1,106,121
50,52.38,-12282.66,-292.444286,0.688489,-0.846079,-1.285791,52.380952380952387,14.1999,42,91,241,31
150,52.21,-30394.97,-268.982035,0.680704,-0.810298,-1.736544,52.212389380530979,35.7832,113,1,241,61
81,52.00,-49068.31,-218.081378,0.701205,-0.986601,-1.821492,52,49.5984,225,1,256,16
13,51.92,-15573.74,-299.495000,0.669935,-0.719800,-1.520060,51.923076923076927,20.8777,52,181,46,31
4,51.85,-7944.51,-294.241111,0.685131,-0.829289,-1.421457,51.851851851851848,9.4419,27,106,31,211
20,51.85,-8093.97,-299.776667,0.679848,-0.921010,-0.998935,51.851851851851848,8.7558,27,121,76,136
101,51.72,-25405.40,-292.016092,0.651740,-0.753386,-1.595989,51.724137931034484,32.0542,87,1,256,166
119,51.64,-33221.59,-272.308115,0.673658,-0.944066,-1.722794,51.639344262295083,35.0590,122,1,61,226
124,51.43,-12039.35,-343.981429,0.662698,-0.647947,-1.535654,51.428571428571423,17.4399,35,16,271,241
107,51.43,-11288.94,-322.541143,0.654307,-0.858700,-1.194434,51.428571428571423,12.9156,35,121,16,226
90,51.35,-21558.12,-291.325946,0.672102,-0.873165,-1.957248,51.351351351351347,24.1879,74,16,166,31
126,51.02,-16103.02,-328.633061,0.653489,-0.829871,-1.689531,51.020408163265309,19.1424,49,91,181,31
155,50.00,-37244.93,-310.374417,0.616562,-0.908587,-2.172939,50,39.7205,120,1,61,241
153,50.00,-7618.03,-346.274091,0.652298,-0.685409,-1.214226,50,10.7391,22,106,241,121
114,50.00,-10084.88,-315.152500,0.660273,-0.690978,-1.592875,50,14.2414,32,181,31,256
83,50.00,-11311.55,-377.051667,0.622716,-0.738319,-1.657161,50,14.7301,30,181,256,46
82,50.00,-9084.69,-349.411154,0.637818,-0.785770,-1.778079,50,11.4902,26,76,61,211
98,50.00,-7455.38,-372.769000,0.618005,-0.570026,-1.496078,50,12.9447,20,136,151,166
115,48.94,-17288.42,-367.838723,0.609893,-0.953673,-1.720729,48.936170212765958,17.9773,47,16,181,136
58,48.72,-14999.64,-384.606154,0.587571,-0.796931,-2.015156,48.717948717948715,18.8218,39,46,91,76
40,48.28,-13107.92,-451.997241,0.535261,-0.761485,-2.664933,48.275862068965516,17.1183,29,106,136,241
36,48.28,-12340.12,-425.521379,0.575334,-0.663509,-1.923531,48.275862068965516,17.9979,29,196,46,271
113,47.17,-22670.54,-427.746038,0.571142,-0.822923,-2.024133,47.169811320754718,26.7315,53,46,16,76
44,46.94,-21365.90,-436.038776,0.557905,-0.984217,-2.189158,46.938775510204081,21.6344,49,121,151,31
8,46.67,-12500.38,-416.679333,0.569062,-0.900408,-2.107471,46.666666666666664,13.8452,30,61,271,136
116,46.67,-12616.70,-420.556667,0.575352,-0.748116,-2.073825,46.666666666666664,16.3146,30,166,211,76
78,46.67,-20060.72,-445.793778,0.549804,-0.983138,-1.984178,46.666666666666664,20.3348,45,91,226,31
63,45.45,-16428.03,-497.819091,0.526121,-0.926211,-2.298125,45.454545454545453,17.5339,33,61,46,226
108,45.16,-16859.68,-543.860645,0.462720,-0.836589,-2.930829,45.161290322580641,19.9942,31,151,46,271
46,45.00,-10477.36,-523.868000,0.518370,-0.942610,-1.892416,45,11.0448,20,136,61,181
37,44.83,-15391.50,-530.741379,0.488401,-0.752808,-2.391727,44.827586206896555,19.9617,29,121,91,241
100,41.67,-14176.12,-590.671667,0.463988,-0.983055,-2.314174,41.666666666666671,14.3853,24,181,151,151
133,40.00,-17975.37,-599.179000,0.440983,-0.847129,-3.019352,40,20.9011,30,106,76,241
156,0,0.00,0,,0,0,0,0.0000,0,1,1,76
154,0,0.00,0,,0,0,0,0.0000,0,1,1,106
151,0,0.00,0,,0,0,0,0.0000,0,1,241,1
147,0,0.00,0,,0,0,0,0.0000,0,1,1,46
149,0,0.00,0,,0,0,0,0.0000,0,106,196,1
145,0,-176.41,-13.570000,0.982935,-0.027771,-0.018686,0,6.1646,13,121,256,226
146,0,0.00,0,,0,0,0,0.0000,0,1,1,151
136,0,0.00,0,,0,0,0,0.0000,0,1,1,181
139,0,0.00,0,,0,0,0,0.0000,0,1,1,16
137,0,5153.71,572.634444,2.267567,0.806378,0.314277,0,6.1693,9,106,256,271
138,0,0.00,0,,0,0,0,0.0000,0,1,1,1
134,0,0.00,0,,0,0,0,0.0000,0,1,1,241
128,0,0.00,0,,0,0,0,0.0000,0,1,1,226
112,0,-2724.44,-194.602857,0.770424,-0.256282,-0.352187,0,10.2477,14,196,166,166
95,0,1041.61,54.821579,1.072797,0.164144,0.131930,0,6.2474,19,91,76,151
79,0,-7918.76,-879.862222,0.327601,-0.600359,-0.546863,0,12.6917,9,181,166,211
41,0,-417.07,-41.707000,0.950129,-0.078578,-0.043586,0,5.1071,10,196,256,151
25,0,0.00,0,,0,0,0,0.0000,0,181,181,166
22,0,0.00,0,,0,0,0,0.0000,0,46,46,76
102,0,0.00,0,,0,0,0,0.0000,0,16,61,1
10,0,1920.41,112.965294,1.150535,0.231502,0.317591,0,7.7671,17,136,286,226
93,0,0.00,0,,0,0,0,0.0000,0,76,196,1
76,0,0.00,0,,0,0,0,0.0000,0,181,106,1
18,0,980.10,163.350000,1.225036,0.219450,0.047642,0,4.2355,6,181,151,271
0,0,-8309.10,-461.616667,0.547424,-0.887317,-0.913443,0,9.2665,18,121,151,256
56,0,0.00,0,,0,0,0,0.0000,0,166,286,1
42,0,-566.96,-31.497778,0.960378,-0.076224,-0.099131,0,7.1460,18,151,181,196
23,0,0.00,0,,0,0,0,0.0000,0,16,16,31
86,0,6977.84,367.254737,1.654313,1.126543,0.964736,0,5.5288,19,151,181,136
106,0,0.00,0,,0,0,0,0.0000,0,106,106,61
33,0,0.00,0,,0,0,0,0.0000,0,61,241,1
71,0,15057.30,792.489474,3.053916,1.775642,2.456569,0,7.3496,19,91,106,166
29,0,-2719.37,-906.456667,0.327002,-0.557145,-0.026186,0,4.7776,3,181,181,241
12,0,-2472.00,-130.105263,0.849194,-0.232779,-0.499138,0,10.0891,19,106,286,211
55,0,3436.80,429.600000,1.814817,0.726973,0.160363,0,4.6304,8,166,196,256
70,0,-6828.14,-455.209333,0.552722,-0.530205,-0.792921,0,12.7590,15,151,136,256
60,0,0.00,0,,0,0,0,0.0000,0,31,151,1
28,0,1294.21,1295.610000,925.435714,1.452276,0.012975,0,0.8893,1,91,91,196
