Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
75,64.58,9204.73,95.882604,1.126588,0.587038,0.518390,64.583333333333343,13.6981,96,76
74,63.54,5799.14,60.407708,1.077883,0.369844,0.336017,63.541666666666664,13.6981,96,75
43,61.40,-2064.92,-18.113333,0.977582,-0.163884,-0.096347,61.403508771929829,11.7695,114,44
73,60.82,-3266.76,-33.677938,0.958605,-0.162918,-0.188473,60.824742268041234,17.7438,97,74
3,60.79,-3069.75,-11.042266,0.985526,-0.168146,-0.069553,60.791366906474821,17.9349,278,4
65,60.78,-3955.77,-38.782059,0.953936,-0.178202,-0.213495,60.784313725490193,18.9557,102,66
64,60.78,-3002.15,-29.432843,0.964964,-0.142055,-0.157385,60.784313725490193,18.1090,102,65
63,60.78,-2995.83,-29.370882,0.965035,-0.141835,-0.157123,60.784313725490193,18.0997,102,64
62,60.78,-2973.74,-29.154314,0.964639,-0.167359,-0.158245,60.784313725490193,15.7676,102,63
45,60.71,-4266.73,-38.095804,0.954134,-0.281081,-0.201126,60.714285714285708,13.6862,112,46
70,60.61,-4233.66,-42.764242,0.949997,-0.175784,-0.243628,60.606060606060609,20.1307,99,71
69,60.61,-4150.89,-41.928182,0.951077,-0.172622,-0.239137,60.606060606060609,20.0913,99,70
68,60.61,-4237.95,-42.807576,0.950084,-0.176033,-0.244677,60.606060606060609,20.1249,99,69
76,60.42,-4389.52,-45.724167,0.939732,-0.213531,-0.251880,60.416666666666664,19.8166,96,77
44,60.36,-5690.80,-51.268468,0.938604,-0.380227,-0.272714,60.360360360360367,13.6966,111,45
2,60.06,-10503.53,-34.102370,0.955787,-0.389608,-0.235522,60.064935064935064,24.3843,308,3
67,60.00,-6106.58,-61.065800,0.928351,-0.276435,-0.346446,60,19.0801,100,68
42,60.00,-7364.61,-64.040087,0.920822,-0.522002,-0.349867,60,13.4827,115,43
41,60.00,-7373.38,-64.116348,0.920731,-0.522116,-0.352194,60,13.4957,115,42
72,59.80,-6698.19,-65.668529,0.922371,-0.274925,-0.385857,59.803921568627452,21.0360,102,73
71,59.80,-6778.38,-66.454706,0.921467,-0.276892,-0.384669,59.803921568627452,21.1314,102,72
66,59.80,-6850.10,-67.157843,0.920134,-0.320668,-0.388309,59.803921568627452,18.8358,102,67
46,58.93,-9992.33,-89.217232,0.895733,-0.513372,-0.480693,58.928571428571431,17.7800,112,47
11,58.16,-18205.40,-92.884694,0.874360,-0.751779,-0.582718,58.163265306122447,24.2079,196,12
1,58.08,-30133.96,-82.558795,0.877098,-0.708759,-0.702998,58.082191780821915,39.5958,365,2
40,57.98,-14330.11,-120.421092,0.853322,-0.763666,-0.686522,57.983193277310932,17.9683,119,41
47,57.80,-13458.08,-123.468624,0.856012,-0.669714,-0.667904,57.798165137614674,18.8445,109,48
61,57.41,-14104.22,-130.594630,0.847232,-0.598891,-0.776862,57.407407407407405,21.7696,108,62
12,57.29,-23225.42,-120.965729,0.837594,-0.957246,-0.801581,57.291666666666664,24.2542,192,13
39,57.26,-16566.75,-141.596154,0.829834,-0.788895,-0.804205,57.26495726495726,20.1085,117,40
93,57.14,-10316.03,-122.809881,0.846447,-0.439716,-0.645328,57.142857142857139,21.9551,84,94
92,57.14,-10282.35,-122.408929,0.846949,-0.438281,-0.651762,57.142857142857139,21.9499,84,93
28,57.04,-18510.55,-137.115185,0.833617,-0.787175,-0.778917,57.037037037037038,22.3944,135,29
100,56.96,-11569.68,-146.451646,0.821599,-0.480603,-0.737854,56.962025316455701,22.5284,79,101
99,56.96,-11601.44,-146.853671,0.821087,-0.481159,-0.742035,56.962025316455701,22.5644,79,100
13,56.83,-25094.47,-137.128251,0.816291,-0.939345,-0.886218,56.830601092896174,26.7054,183,14
31,56.72,-19718.37,-147.152015,0.818950,-0.769490,-0.847563,56.71641791044776,24.3626,134,32
94,56.63,-11407.95,-137.445181,0.830061,-0.486259,-0.732337,56.626506024096393,21.9551,83,95
82,56.52,-12266.14,-133.327609,0.829273,-0.497898,-0.728015,56.521739130434781,23.7487,92,83
25,56.39,-20073.45,-150.928195,0.820371,-0.736140,-0.821248,56.390977443609025,25.4382,133,26
38,56.30,-19900.18,-167.228403,0.793015,-0.956798,-0.977790,56.30252100840336,20.6135,119,39
29,56.30,-21151.83,-156.680222,0.806878,-0.881880,-0.910359,56.296296296296298,23.3241,135,30
26,56.30,-20612.78,-152.687259,0.820708,-0.655626,-0.861908,56.296296296296298,28.3698,135,27
10,56.22,-28710.61,-142.838856,0.804987,-0.965754,-0.962409,56.218905472636813,29.7183,201,11
27,56.20,-21208.93,-154.809708,0.813437,-0.766353,-0.898100,56.20437956204379,25.9943,137,28
80,56.18,-12801.48,-143.836854,0.816301,-0.478721,-0.777437,56.17977528089888,25.7781,89,81
30,55.97,-22304.55,-166.451866,0.794197,-0.887297,-0.965837,55.970149253731336,24.4451,134,31
60,55.96,-18662.00,-171.211009,0.801832,-0.720802,-1.030247,55.963302752293572,24.4173,109,61
48,55.96,-18931.87,-173.686881,0.795692,-0.809875,-0.980637,55.963302752293572,22.3816,109,49
95,55.95,-13703.34,-163.135000,0.801273,-0.539501,-0.857842,55.952380952380956,23.7701,84,96
4,55.95,-33638.47,-133.485992,0.810462,-0.953401,-1.022945,55.952380952380956,34.8871,252,5
78,55.91,-14210.49,-152.800968,0.809398,-0.604413,-0.854348,55.913978494623649,22.6646,93,79
91,55.81,-13787.72,-160.322326,0.802053,-0.515930,-0.861051,55.813953488372093,25.0032,86,92
57,55.66,-19155.57,-180.712925,0.790546,-0.725751,-1.090064,55.660377358490564,24.8886,106,58
101,55.56,-15126.65,-186.748765,0.776856,-0.587500,-0.971378,55.555555555555557,24.0952,81,102
98,55.56,-15157.92,-187.134815,0.777669,-0.611323,-0.985895,55.555555555555557,23.2043,81,99
81,55.56,-14592.84,-162.142667,0.795770,-0.545710,-0.888694,55.555555555555557,25.7781,90,82
35,55.47,-23166.72,-180.990000,0.774512,-0.959584,-1.121642,55.46875,23.9275,128,36
83,55.43,-15037.36,-163.449565,0.789879,-0.524434,-0.912313,55.434782608695656,27.6410,92,84
96,55.42,-14719.78,-177.346747,0.785249,-0.558058,-0.939088,55.421686746987952,24.6842,83,97
37,55.28,-23909.65,-194.387398,0.760491,-0.963781,-1.129532,55.284552845528459,24.5873,123,38
77,55.21,-16342.46,-170.233958,0.784172,-0.610234,-0.975924,55.208333333333336,25.8163,96,78
49,55.14,-20821.21,-194.590748,0.774045,-0.824092,-1.091683,55.140186915887845,24.1905,107,50
23,55.07,-26227.05,-190.051087,0.773596,-0.859847,-1.119088,55.072463768115945,29.2515,138,24
59,55.05,-21218.03,-194.660826,0.774833,-0.783019,-1.203912,55.045871559633028,25.8743,109,60
14,55.00,-32529.67,-180.720389,0.757251,-0.984304,-1.227839,55.000000000000007,32.9381,180,15
33,54.96,-25595.64,-195.386565,0.758408,-0.826897,-1.224279,54.961832061068705,29.8068,131,34
85,54.95,-16608.13,-182.506923,0.771744,-0.609906,-1.015374,54.945054945054949,26.2501,91,86
97,54.88,-15881.59,-193.677927,0.769663,-0.641793,-1.036022,54.878048780487809,23.1578,82,98
7,54.79,-37395.41,-170.755297,0.760575,-0.976108,-1.288006,54.794520547945204,38.2974,219,8
36,54.76,-25586.11,-203.064365,0.747831,-0.966073,-1.231137,54.761904761904766,26.2488,126,37
5,54.76,-40741.53,-161.672738,0.770651,-0.948760,-1.333953,54.761904761904766,42.4673,252,6
52,54.72,-21776.10,-205.434906,0.753636,-0.774983,-1.161011,54.716981132075468,26.9031,106,53
8,54.72,-36887.29,-173.996651,0.753032,-0.976212,-1.281814,54.716981132075468,37.7730,212,9
34,54.69,-25904.76,-202.380938,0.745387,-0.915610,-1.260651,54.6875,28.0404,128,35
58,54.63,-22145.93,-205.054907,0.761288,-0.790510,-1.271504,54.629629629629626,26.7499,108,59
21,54.61,-28065.01,-199.042624,0.759197,-0.870931,-1.193631,54.609929078014183,30.9374,141,22
20,54.55,-28783.83,-201.285524,0.749452,-0.909728,-1.220576,54.54545454545454,30.8192,143,21
