Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpPeriod
47,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,49
36,41.94,-5080.88,-163.899355,0.763786,-0.493587,-1.098677,41.935483870967744,10.0339,31,38
34,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,36
32,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,34
30,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,32
28,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,30
27,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,29
26,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,28
25,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,27
24,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,26
21,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,23
20,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,22
19,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,21
18,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,20
16,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,18
13,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,15
12,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,14
11,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,13
10,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,12
9,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,11
8,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,10
7,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,9
6,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,8
2,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,4
0,41.94,-5031.62,-162.310323,0.765961,-0.491086,-1.086158,41.935483870967744,9.9871,31,2
48,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,50
46,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,48
45,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,47
44,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,46
43,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,45
42,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,44
41,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,43
40,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,42
39,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,41
38,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,40
37,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,39
35,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,37
33,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,35
31,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,33
29,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,31
23,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,25
22,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,24
17,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,19
15,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,17
14,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,16
5,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,7
4,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,6
3,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,5
1,0,-3563.91,-593.985000,0.414562,-0.908896,-0.213599,0,3.9179,6,3
